type,time,x,y,z
Missed,60.69906799999998,7.400498867034912,4.990506172180176,0.7550000548362732
Missed,63.911971999999984,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,66.98408699999996,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,76.533454,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,78.38408099999994,10.221587181091309,41.00801086425781,0.7634983062744141
Completed,80.786595,10.055343627929688,41.007938385009766,0.7568783164024353
Missed,83.02009699999999,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,87.88776699999998,10.21969223022461,41.00288772583008,0.7640023231506348
Completed,94.26500100000005,9.957854270935059,41.00099563598633,0.7555103302001953
Missed,96.16662699999998,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,97.84890899999996,10.242799758911133,41.021575927734375,0.7507302761077881
Missed,99.59318599999999,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,100.29888100000001,10.39825439453125,41.014888763427734,0.7545309066772461
Missed,105.686031,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,110.50286499999994,10.043831825256348,41.00908660888672,0.7555041313171387
Missed,114.70452899999995,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,116.27832499999992,10.062240600585938,41.007049560546875,0.7571402192115784
Completed,119.78544399999994,10.12880802154541,41.021671295166016,0.757583498954773
Completed,126.00109400000001,10.13040828704834,41.00300979614258,0.7607859969139099
Completed,129.23567400000002,10.232136726379395,41.01505661010742,0.7611170411109924
Completed,132.30327500000016,10.214531898498535,41.02215576171875,0.757251501083374
Missed,133.41288400000013,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,134.49728600000012,10.35165023803711,41.01131057739258,0.7564823031425476
Completed,138.48877300000032,10.082846641540527,41.012306213378906,0.7535150051116943
Missed,139.42549000000034,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,144.64282800000035,10.067122459411621,41.00450134277344,0.7559734582901001
Completed,150.46534700000058,10.202286720275879,41.01155471801758,0.7614791393280029
Completed,152.87637600000053,10.04445743560791,41.00347900390625,0.7562093138694763
Missed,154.5393270000005,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,155.74538700000053,10.177997589111328,41.000648498535156,0.7599291205406189
Missed,157.81519000000046,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,158.95106000000044,10.172565460205078,41.00196075439453,0.7578108310699463
Missed,160.68785600000044,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,171.74326300000018,10.17253303527832,41.01533508300781,0.7548129558563232
Completed,175.11353700000004,10.164322853088379,41.01830291748047,0.7578073740005493
Missed,175.99932,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,178.16016899999994,10.1399507522583,41.01869583129883,0.7582699060440063
Completed,180.97667399999983,10.0840425491333,41.00556945800781,0.7574938535690308
Completed,187.41596099999978,10.193218231201172,41.000160217285156,0.7639001607894897
Completed,189.8916929999999,10.065594673156738,41.00210952758789,0.7570682168006897
Completed,193.34016199999996,10.154013633728027,41.00739669799805,0.7601299285888672
Missed,193.95039099999997,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,195.7165079999999,10.283914566040039,41.012386322021484,0.7588441371917725
Completed,198.5191469999997,10.197205543518066,41.00222396850586,0.7607817649841309
Completed,204.90506999999968,10.044907569885254,41.00642395019531,0.7554248571395874
Completed,207.75695199999973,10.084702491760254,41.01164627075195,0.7557065486907959
Missed,209.14346899999975,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,211.34958299999977,10.089009284973145,41.009132385253906,0.7563688158988953
Completed,214.3350709999998,10.227252006530762,41.00507736206055,0.7621073126792908
Completed,219.65008999999998,10.090707778930664,41.01110076904297,0.7568985223770142
Completed,222.4144,10.192389488220215,41.01031494140625,0.7581393718719482
Missed,223.92959200000007,7.400498867034912,4.990506172180176,0.7550000548362732
Completed,226.02695100000008,10.34360122680664,41.01384735107422,0.7602154016494751
Completed,229.21038300000004,10.202207565307617,41.01454544067383,0.7597103118896484
Missed,230.13763600000004,7.400498867034912,4.990506172180176,0.7550000548362732
Completed,234.59537199999997,10.05375862121582,41.014923095703125,0.7538407444953918
Missed,239.09172,7.400498867034912,4.990506172180176,0.7550000548362732
Completed,240.93996099999993,10.048673629760742,41.016536712646484,0.7542676329612732
Completed,244.28715699999995,10.158628463745117,41.018733978271484,0.7537573575973511
Completed,250.0024299999998,10.047735214233398,41.01625442504883,0.7536203265190125
Completed,252.98898399999976,10.019542694091797,41.01742172241211,0.7549998760223389
Completed,256.05432099999973,10.223225593566895,41.008941650390625,0.761037290096283
Completed,258.1822589999999,10.171197891235352,41.00504684448242,0.759392499923706
Completed,261.93487199999976,10.229361534118652,41.00422668457031,0.7648540735244751
Completed,264.7048639999997,10.093219757080078,41.00743865966797,0.7566643357276917
Missed,266.26457099999976,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,267.58476399999984,10.103346824645996,41.00101852416992,0.7579060792922974
Completed,271.38584599999996,10.066522598266602,41.00789260864258,0.755056619644165
Completed,276.936865,10.062036514282227,41.0080680847168,0.756897509098053
Completed,280.40098999999987,10.204894065856934,41.016746520996094,0.759816586971283
Completed,282.9381270000001,10.095184326171875,41.01228332519531,0.7547202706336975
Missed,284.23825999999997,7.400498867034912,4.990506172180176,0.7550000548362732
fall,285.537217,9.525009155273438,21.80763053894043,0.5715223550796509
Completed,285.601006,10.04748249053955,41.010292053222656,0.7553370594978333
Completed,289.06589100000025,10.095420837402344,41.00511169433594,0.7591515183448792
Completed,294.51367600000026,10.22359848022461,41.01337432861328,0.7591120600700378
Completed,297.84046600000016,10.167655944824219,41.01130676269531,0.7602963447570801
Completed,300.92834200000044,10.22619342803955,41.018043518066406,0.7611256241798401
Completed,303.54016000000047,10.03936767578125,41.013648986816406,0.7572223544120789
Completed,304.08460400000047,9.98493480682373,41.018898010253906,0.7549985647201538
Completed,309.61500800000033,10.165679931640625,41.00139617919922,0.7630969882011414
Completed,312.2995310000003,10.197731018066406,41.00288772583008,0.7614629864692688
Completed,315.8606520000002,10.087717056274414,41.02090072631836,0.7501240968704224
Missed,316.8413770000002,7.400498867034912,4.990506172180176,0.7550000548362732
Completed,318.67065600000024,10.177033424377441,41.006256103515625,0.7641111016273499
Missed,319.91551400000026,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,328.5737870000002,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,330.52418100000017,10.050273895263672,41.017120361328125,0.7534992694854736
Completed,332.7778280000004,10.195283889770508,41.00361633300781,0.7549999952316284
Missed,337.2309210000001,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,338.44313400000004,9.987666130065918,41.00619125366211,0.7550042867660522
Missed,340.27202800000015,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,341.7453740000002,10.000646591186523,41.00874710083008,0.7574396133422852
Missed,346.74297200000024,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,351.434005,10.068737983703613,41.00904083251953,0.7547019720077515
Missed,352.852986,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,355.9516980000001,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,357.56809599999997,10.326094627380371,41.00038146972656,0.7598083019256592
Missed,362.2264889999996,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,365.3157579999996,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,366.6827229999997,10.127989768981934,41.0186882019043,0.7524778246879578
Missed,368.30112199999974,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,379.50572199999976,10.228020668029785,41.01437759399414,0.7621095180511475
Missed,380.13344599999965,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,381.8348249999996,10.08853530883789,41.01485061645508,0.7567147612571716
Completed,384.3772079999995,10.349926948547363,41.01216506958008,0.7552971839904785
Completed,390.8903899999998,10.069664001464844,41.01015853881836,0.7565953731536865
Missed,392.5341059999996,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,393.6109339999996,10.063762664794922,41.017147064208984,0.7555570006370544
Completed,397.36110099999956,10.127802848815918,41.01256561279297,0.7576702237129211
Missed,398.76433399999956,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,401.8398179999997,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,403.2087419999997,10.043838500976562,41.01405715942383,0.7545989751815796
Missed,407.5235259999996,7.400498867034912,4.990506172180176,0.7550000548362732
Completed,412.5166319999995,10.208909034729004,41.02192306518555,0.7605788707733154
Missed,416.40493899999956,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,418.7027149999997,10.186715126037598,41.01143264770508,0.7600733637809753
Completed,421.77524999999974,10.067281723022461,41.00010299682617,0.7570709586143494
Missed,425.4901319999998,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,427.5418369999999,10.133578300476074,41.013309478759766,0.7546144127845764
Missed,428.55163099999993,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,430.63016599999986,10.142882347106934,41.00442886352539,0.7603742480278015
Missed,431.6447449999998,7.400489330291748,4.990503787994385,0.7549999952316284
fall,436.10591899999986,10.769853591918945,24.2794189453125,0.587495744228363
Missed,437.64376399999975,7.400489330291748,4.990503787994385,0.7549999952316284
Missed,440.5915429999999,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,441.7308899999999,10.00689697265625,41.00358200073242,0.7550002932548523
Missed,449.3723229999996,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,451.36273699999964,10.155929565429688,41.008522033691406,0.7598940134048462
Missed,452.3174109999995,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,454.1239559999995,10.100753784179688,41.0200309753418,0.7553523778915405
Completed,463.0912519999995,10.325418472290039,41.001861572265625,0.7621995806694031
Missed,464.5814069999997,7.400489330291748,4.990503787994385,0.7549999952316284
Completed,469.7293429999996,10.059246063232422,41.02049255371094,0.7499201893806458
